Name,Price,Rating,Review Count,URL
"Oversteel ULTIMET - Professional Gaming Chair, Purple",£139.99,4.4 out of 5 stars,"7,117",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00957903DN9H8PERYEY8&url=%2FOversteel-ULTIMET-Professional-Gaming-Purple%2Fdp%2FB083SXT7Q6%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-1-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_atf
GTPLAYER Gaming Chair Office Chair Swivel Heavy Duty Chair Ergonomic Design with Cushion and Reclining Back Support(White),£129.99,4.4 out of 5 stars,"4,330",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10381454JPKE1AQWMO3&url=%2FGTPLAYER-Computer-Warranty%25E3%2580%2591-Ergonomic-Reclining%2Fdp%2FB07SVY3HVS%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-2-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_atf
"Luckracer Gaming Chair Massage With Footrest Ergonomic Computer Chair Reclining High Back Support Height Adjustable Heavy Duty, Black",£139.90,4.4 out of 5 stars,"3,415",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02393752SVV4WN005UFN&url=%2FLuckracer-Massage-Footrest-Cushion-Armrest%2Fdp%2FB085DPPFT9%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-3-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_atf
GT OMEGA PRO Racing Gaming Chair with Lumbar Support - Ergonomic PVC Leather Office Chair with 4D Adjustable Armrest & Recliner - Esport Seat for Ultimate Gaming Experience - Black,£169.95,4.6 out of 5 stars,"1,550",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0355880FUK7LGH353AP&url=%2FGT-OMEGA-RACING-OFFICE-LEATHER%2Fdp%2FB00F1LXXL6%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-4-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_atf
"Corsair T3 Rush - Polyester Fabric Gaming Chair (Breathable Soft Fabric Exterior, Padded Neck Cushion, Memory Foam Lumbar Support, 4D Armrests, 180 Degree Recliner, Easy Assembly) Grey/Black",£260.64,4.6 out of 5 stars,767,https://amazon.co.uk/Corsair-Polyester-Breathable-Exterior-Armrests/dp/B07YYPH919/ref=sr_1_5?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-5
"Oversteel ULTIMET - Professional Gaming Chair, Grey",£139.99,4.4 out of 5 stars,"7,117",https://amazon.co.uk/Oversteel-ULTIMET-Professional-Gaming-Chair/dp/B083SXV3XV/ref=sr_1_6?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-6
"X Rocker Atreus PC Gaming Chair, Height Adjustable Mid-Back Home Office Chair Swivel Seat for Juniors and Teens",£74.99,4.4 out of 5 stars,137,https://amazon.co.uk/Rocker-Atreus-PC-Gaming-Chair/dp/B094NG7N3M/ref=sr_1_7?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-7
"Julian Bowen Comet Gaming Chair, Black & Grey, Faux Leather, One Size",£166.99,3.0 out of 5 stars,1,https://amazon.co.uk/Julian-Bowen-Comet-Gaming-Chair/dp/B08W2JPCZ5/ref=sr_1_8?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-8
Requena Sport Desk Chair Adjustable Office Gaming Racing Chair Lumbar and Head Pillow Chair X3577 (Red),£119.99,4.4 out of 5 stars,"1,954",https://amazon.co.uk/Requena-Adjustable-Office-Gaming-Racing/dp/B086X6BHCX/ref=sr_1_9?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-9
Oversteel ULTIMET Gaming Chair Fabric Gray - White,£143.49,4.3 out of 5 stars,117,https://amazon.co.uk/Oversteel-ULTIMET-Gaming-Chair-Fabric/dp/B09CL3XVWR/ref=sr_1_10?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-10
bigzzia Gaming Chair Office Chair Desk Chair Swivel Heavy Duty Chair Ergonomic Design with Cushion and Reclining Back Support (Red and Black),£99.99,4.0 out of 5 stars,"2,481",https://amazon.co.uk/bigzzia-Ergonomic-Cushion-Reclining-Support/dp/B08D9MPDRH/ref=sr_1_11?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-11
GTPLAYER Gaming Chair Office Chair Swivel Heavy Duty Chair Ergonomic Design with Cushion and Reclining Back Support(White),£129.99,4.4 out of 5 stars,"4,330",https://amazon.co.uk/GTPLAYER-Computer-Warranty%E3%80%91-Ergonomic-Reclining/dp/B07SVY3HVS/ref=sr_1_12?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-12
Play haha.Gaming chair Office chair Swivel chair Computer chair Work chair Desk chair Ergonomic Chair Racing chair Leather chair PC gaming chair (Blue),£79.99,4.2 out of 5 stars,"22,438",https://amazon.co.uk/play-Ergonomic-Conference-Leatherwith-Adjustable/dp/B07S2XCK3P/ref=sr_1_13?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-13
"Yaheetech Gaming Chair Adjustable Racing Chair Ergonomic Swivel Office Reclining Chair High Back Executive Computer Chair with Lumbar Support, Gray",£69.99,4.2 out of 5 stars,"1,002",https://amazon.co.uk/Yaheetech-Adjustable-Ergonomic-Reclining-Executive/dp/B0B4DJHCF1/ref=sr_1_14?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-14
"X Rocker Maverick Gaming Chair, Ergonomic Home Mid-Back Office Chair, PU Leather, Height Adjustable Swivel Base with Natural Lumbar Support - White & Grey",£99.99,4.3 out of 5 stars,114,https://amazon.co.uk/X-Rocker-Maverick-White-Grey/dp/B094NGRVM1/ref=sr_1_15?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-15
NOKAXUS Gaming Chair Large Size High-back Ergonomic Racing Seat with Massager Lumbar Support and Retractible Footrest PU Leather 90-180 degree adjustment of backrest Thickening sponges(Yk-6008-black),£209.99,4.4 out of 5 stars,"5,959",https://amazon.co.uk/Nokaxus-Retractible-adjustment-Thickening-YK-6008-BLACK/dp/B07DZKG7SN/ref=sr_1_16?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-16
